Provincia;Localidad;Dirección;Margen;Toma de datos;Precio;Rótulo;Tipo Venta;Rem.;Horario
MADRID;MADRID;ALCALA, 284-286;D;21/02/2015;1,234;CEPSA-ELF;P;OM;L-D: 24H
MADRID;MADRID;ARTURO SORIA, 29;N;23/02/2015;1,229;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;AUTOVIA A-3 KM. 14,3;D;23/02/2015;1,199;REPSOL;P;OM;L-D: 07:00-23:00
MADRID;MADRID;AUTOVIA A-3 KM. 7,1;D;23/02/2015;1,189;CERRO DE LA CABAÑA;P;dm;L-D: 24H
MADRID;MADRID;AUTOVIA A-3 KM. 7,1;I;23/02/2015;1,189;CERRO DE LA CABAÑA;P;dm;L-D: 24H
MADRID;MADRID;AUTOVIA M-50 KM. 34;D;23/02/2015;1,219;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;AV DOCTOR ARCE 30;N;23/02/2015;1,219;GALFAB;P;dm;L-D: 24H
MADRID;MADRID;AV DOCTOR ESQUERDO, 153;D;23/02/2015;1,214;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;AV HISPANIDAD, S.N.;I;23/02/2015;1,229;REPSOL;P;OM;L-D: 06:00-22:00
MADRID;MADRID;Avda. Arcentales, 7;N;23/02/2015;1,244;GALP;P;OM;L-D: 24H
MADRID;MADRID;AVDA. DE LA DEMOCRACIA 62;I;23/02/2015;1,217;STAR PETROLEUM;P;dm;L: 07:00-22:00
MADRID;MADRID;AVDA. DE LOGROÑO, 233;N;23/02/2015;1,179;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;AVDA. DEMOCRACIA, 41;D;23/02/2015;1,217;STAR PETROLEUM;P;dm;L-D: 24H
MADRID;MADRID;AVDA. PORTUGAL, 16;N;23/02/2015;1,209;REPSOL;P;dm;"L-V: 06:30-23:30; S-D: 07:00-23:00"
MADRID;MADRID;AVDA. PRINCESA JUANA DE AUSTRIA KM 4,700 km 4.700;N;23/02/2015;1,209;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;Avda. Vicálvaro esq. Pobladura del Valle;N;23/02/2015;1,244;GALP;P;OM;L-D: 24H
MADRID;MADRID;AVENIDA ALBUFERA, 89;N;23/02/2015;1,186;SPA360;P;dm;L-D: 24H
MADRID;MADRID;AVENIDA AVDA DE ANDALUCIA KM 7,1, S/N;N;23/02/2015;1,209;CARREFOUR;P;dm;L-D: 24H
MADRID;MADRID;AVENIDA AVENIDA DE MORATALAZ, 21;D;23/02/2015;1,209;REPSOL;P;OM;"L-S: 07:00-21:00; D: 09:00-14:00"
MADRID;MADRID;AVENIDA AVIACION, 32;D;23/02/2015;1,209;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;AVENIDA CANILLEJAS A VICALVARO, 147;I;17/02/2015;1,233;CEPSA;P;dm;L-D: 24H
MADRID;MADRID;AVENIDA CARABANCHEL ALTO, 180;D;16/02/2015;1,209;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;AVENIDA CARDENAL HERRERA ORIA, 290;D;23/02/2015;1,229;REPSOL;P;OM;L-D: 07:00-23:00
MADRID;MADRID;AVENIDA CIUDAD DE BARCELONA, 61;N;23/02/2015;1,219;REPSOL;P;dm;L-D: 06:00-00:00
MADRID;MADRID;AVENIDA DAROCA,336;N;23/02/2015;1,229;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;AVENIDA DE DAROCA, 4;I;19/02/2015;1,229;CEPSA;P;OM;L-D: 06:00-22:00
MADRID;MADRID;AVENIDA DE LOS POBLADOS, 18;I;23/02/2015;1,199;CEPSA;P;OM;L-D: 24H
MADRID;MADRID;AVENIDA DE LOS POBLADOS, SN;N;23/02/2015;1,226;GALP;P;OM;L-D: 24H
MADRID;MADRID;AVENIDA DE LOS TOREROS, S/N;D;21/02/2015;1,234;CEPSA;P;OM;"L-S: 07:00-21:00; D: 9:00-14:00"
MADRID;MADRID;AVENIDA ENSANCHE DE VALLECAS, 2;D;23/02/2015;1,219;CEPSA;P;OM;L-D: 24H
MADRID;MADRID;AVENIDA ENTREVIAS, S/N;D;23/02/2015;1,209;REPSOL;P;OM;L-V: 06:00-21:00
MADRID;MADRID;AVENIDA GENERAL FANJUL, 1;D;17/02/2015;1,199;CEPSA;P;dm;L-D: 24H
MADRID;MADRID;AVENIDA HISPANIDAD, 44;D;23/02/2015;1,219;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;AVENIDA LOS ROSALES, 147;I;23/02/2015;1,219;CEPSA;P;dm;"L-V: 05:00-23:00; S-D: 07:00-23:00"
MADRID;MADRID;AVENIDA MANOTERAS, 34;I;21/02/2015;1,229;AVIA;P;dm;L-D: 06:00-23:59
MADRID;MADRID;AVENIDA MAYORAZGO, 20;N;23/02/2015;1,217;GALP;P;OM;L-D: 24H
MADRID;MADRID;AVENIDA MONFORTE DE LEMOS, 10;D;23/02/2015;1,219;REPSOL;P;OM;"L-V: 07:00-22:00; S: 08:00-15:00"
MADRID;MADRID;AVENIDA NUESTRA SRA. DE FATIMA, 22;D;23/02/2015;1,219;STAR PETROLEUM;P;dm;L-D: 24H
MADRID;MADRID;AVENIDA OPORTO, SN;N;23/02/2015;1,219;CEPSA;P;dm;L-D: 24H
MADRID;MADRID;AVENIDA PADRE PIQUER, S/N;D;23/02/2015;1,199;REPSOL;P;OM;L-S: 07:30-20:30
MADRID;MADRID;AVENIDA PESETA, 6;D;23/02/2015;1,209;REPSOL;P;OM;L-D: 07:00-23:00
MADRID;MADRID;AVENIDA PIO XII, 6;D;18/02/2015;1,239;CEPSA;P;dm;L-D: 24H
MADRID;MADRID;AVENIDA REAL DE PINTO, 106;N;22/02/2015;1,209;GALP;P;dm;L-D: 06:00-23:00
MADRID;MADRID;AVENIDA SAN LUIS, 75;I;21/02/2015;1,234;CEPSA;P;OM;L-D: 24H
